Name,Gender,Age,Nationality,Years_Active,Genre_Niche,Beauty_Level,Skills,Education,Award_Wins,Media_Mentions,Social_Media_Followers,Social_Media_Likes,Network_Size,MBTI_Personality,Income_Per_Year
Ava Johnson,Female,32,American,7,Lifestyle,8,"Fashion, Photography, Public Speaking",Bachelor's Degree in Marketing,3,500,1000000,50000,5,ENFJ,"$200,000"
Jackson Lee,Male,28,British,5,Fitness,7,"Personal Training, Nutrition, Motivational Speaking",High School Diploma,2,300,800000,40000,4,ISTP,"$150,000"
Sophie Garcia,Female,35,Spanish,8,Beauty & Makeup,9,"Makeup Artistry, Skincare, Content Creation",Master's Degree in Cosmetology,5,600,1200000,70000,6,INFJ,"$300,000"
Ryan Patel,Male,30,Indian,6,Food & Cooking,6,"Culinary Skills, Recipe Development, Food Photography",Culinary School,3,400,900000,45000,5,ESTP,"$180,000"
Emma Chen,Female,25,Chinese,4,Travel & Adventure,7,"Photography, Writing, Adventure Sports",Bachelor's Degree in Journalism,2,250,600000,35000,4,ENFP,"$120,000"
Maximilian Schmidt,Male,40,German,10,Technology,7,"Programming, Web Development, Digital Marketing",Bachelor's Degree in Computer Science,4,700,1500000,80000,6,INTJ,"$400,000"
Luna Rodriguez,Female,29,Brazilian,6,Fashion & Beauty,8,"Fashion Design, Styling, Modeling",Bachelor's Degree in Fashion Design,3,350,750000,50000,5,ISFP,"$180,000"
Ethan Nguyen,Male,27,Vietnamese,4,Gaming & Esports,8,"Gaming Skills, Strategy, Content Creation",Bachelor's Degree in Computer Science,2,200,500000,25000,4,INTP,"$150,000"
Isabella Rossi,Female,33,Italian,5,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Master's Degree in Holistic Nutrition,3,400,800000,45000,5,ENFP,"$200,000"
Nadia Khan,Female,38,Pakistani,9,Parenting & Family,6,"Parenting Tips, Child Psychology, Cooking",Bachelor's Degree in Early Childhood Education,4,550,1000000,60000,5,ISFJ,"$250,000"
